Date,Open,High,Low,Close,Adj Close,Volume
2013/12/2,105,105.5,104,104.5,76.71287537,18860000
2013/12/3,104,105,103.5,104,76.34580231,21820000
2013/12/4,103.5,105.5,103.5,105,77.07991791,23415000
2013/12/5,105,105,103.5,104,76.34580231,25185000
2013/12/6,103,104.5,103,103,75.61170197,25116000
2013/12/9,104,105,104,105,77.07991791,23911000
2013/12/10,104.5,105,104,104,76.34580231,22217000
2013/12/11,103.5,105,103.5,105,77.07991791,24563000
2013/12/12,104.5,104.5,103,103,75.61170197,18272000
2013/12/13,102.5,103.5,102.5,102.5,75.24466705,28244000
2013/12/16,102.5,103,102,102,74.87760925,18669000
2013/12/17,103,104.5,103,103.5,75.97875214,26199000
2013/12/18,102.5,103,101,101,74.14350891,55359000
2013/12/19,102,103,101.5,102.5,75.24466705,27684000
2013/12/20,101.5,103.5,101.5,102,74.87760925,37568000
2013/12/23,103,104.5,103,104,76.34580231,28261000
2013/12/24,104,104,103,103,75.61170197,13997000
2013/12/25,102.5,103.5,102.5,103,75.61170197,9762000
2013/12/26,103,104,103,104,76.34580231,6738000
2013/12/27,103.5,104.5,103,104.5,76.71287537,24086000
2013/12/30,104,106,104,106,77.81401062,44182000
2013/12/31,105.5,106,105,105.5,77.44696808,24400000
2014/1/2,105,105.5,103.5,104.5,76.71287537,15071000
2014/1/3,103,103,102,102.5,75.24466705,38599000
2014/1/6,102,103,102,102.5,75.24466705,23706000
2014/1/7,102.5,103,102,102,74.87760925,15836000
2014/1/8,103,104.5,102.5,104,76.34580231,30218000
2014/1/9,102.5,103,100.5,101,74.14350891,63998000
2014/1/10,102,102.5,101.5,102,74.87760925,33266000
2014/1/13,103,103.5,102.5,103,75.61170197,19545000
2014/1/14,102.5,103.5,102,103.5,75.97875214,21639000
2014/1/15,104,106,104,105,77.07991791,54299000
2014/1/16,106,107.5,106,107,78.5480957,49437000
2014/1/17,108,108.5,107,107.5,78.91513824,53446000
2014/1/20,107,108.5,107,107.5,78.91513824,24245000
2014/1/21,108.5,108.5,106,106.5,78.1810379,24568000
2014/1/22,106,107.5,106,107.5,78.91513824,28698000
2014/1/23,108.5,108.5,107.5,107.5,78.91513824,27910000
2014/1/24,107,108.5,107,108,79.28217316,33999000
2014/1/27,106,106.5,104,105,77.07991791,64827000
2014/2/5,102,102,100.5,100.5,73.77648163,145517000
2014/2/6,101,103,101,102,74.87760925,71895000
2014/2/7,103.5,104.5,103,104,76.34580231,54104000
2014/2/10,104,104.5,103,103,75.61170197,26221000
2014/2/11,104.5,105,104,104.5,76.71287537,21030000
2014/2/12,105,105.5,104.5,105,77.07991791,22692000
2014/2/13,105,106,105,105,77.07991791,19561000
2014/2/14,106.5,107.5,106.5,107.5,78.91513824,42658000
2014/2/17,108,108.5,107.5,108.5,79.64923859,33403000
2014/2/18,108.5,108.5,107.5,108,79.28217316,22196000
2014/2/19,108,108,107,108,79.28217316,26867000
2014/2/20,106.5,107,106,106.5,78.1810379,28429000
2014/2/21,107,107.5,107,107.5,78.91513824,31448000
2014/2/24,107.5,108,106,107,78.5480957,32033000
2014/2/25,107.5,108,106.5,108,79.28217316,31499000
2014/2/26,107.5,108,107,107.5,78.91513824,34908000
2014/2/27,107.5,108,107.5,108,79.28217316,48583000
2014/3/3,108,108,106.5,108,79.28217316,51435000
2014/3/4,108,108,107.5,107.5,78.91513824,47911000
2014/3/5,108.5,110,108.5,110,80.75040436,54846000
2014/3/6,110,113.5,110,113,82.95265198,69737000
2014/3/7,114,115,113.5,114.5,84.0537796,65651000
2014/3/10,114.5,114.5,112.5,113,82.95265198,37846000
2014/3/11,113.5,114.5,113.5,114,83.68676758,28415000
2014/3/12,112.5,113,112,113,82.95265198,18376000
2014/3/13,116.5,117.5,115.5,116.5,85.5220108,56987000
2014/3/14,115,115.5,114,115,84.42085266,44655000
2014/3/17,114.5,115,113,114,83.68676758,33845000
2014/3/18,114.5,115,113.5,114.5,84.0537796,37464000
2014/3/19,114.5,115,113.5,114.5,84.0537796,32171000
2014/3/20,113,113.5,112,112,82.21855927,45292000
2014/3/21,114,114,112,112.5,82.58561707,60088000
2014/3/24,111.5,112.5,111.5,112.5,82.58561707,28463000
2014/3/25,111.5,113.5,111.5,113.5,83.31970215,38029000
2014/3/26,115.5,116,114.5,115.5,84.78788757,43314000
2014/3/27,114.5,116,114,116,85.15494537,30745000
2014/3/28,116,117.5,115.5,117.5,86.25608063,43654000
2014/3/31,118,118.5,116.5,118.5,86.99017334,46921000
2014/4/1,119,119.5,118.5,119.5,87.72426605,40015000
2014/4/2,120.5,121,119,120,88.09130859,43151000
2014/4/3,118.5,119,117.5,118.5,86.99017334,36937000
2014/4/7,117.5,118,116.5,117.5,86.25608063,45015000
2014/4/8,117,119.5,117,119,87.35722351,39873000
2014/4/9,119.5,120,119,119,87.35722351,28578000
2014/4/10,119,119.5,118.5,119.5,87.72426605,25612000
2014/4/11,118.5,120,118,120,88.09130859,34449000
2014/4/14,120,121,120,120.5,88.45836639,30297000
2014/4/15,121.5,122.5,121,122.5,89.92655945,28525000
2014/4/16,121.5,122.5,121,121,88.82540894,49971000
2014/4/17,120.5,121.5,119,120,88.09130859,35783000
2014/4/18,122.5,123,121,123,90.29360199,32741000
2014/4/21,122,122,121,121.5,89.19244385,21736000
2014/4/22,121,122.5,120.5,121.5,89.19244385,22674000
2014/4/23,123,123,120.5,121,88.82540894,31054000
2014/4/24,121,121,120,121,88.82540894,24389000
2014/4/25,121,121,118,118.5,86.99017334,49361000
2014/4/28,118.5,120,117.5,119,87.35722351,28017000
2014/4/29,120.5,121,119,120.5,88.45836639,21769000
2014/4/30,120,120.5,117,118.5,86.99017334,43654000
2014/5/2,119,119.5,117,118,86.62314606,42629000
2014/5/5,117.5,118,116,117,85.88903809,28604000
2014/5/6,117,119,116.5,118,86.62314606,27491000
2014/5/7,118,119,117.5,118.5,86.99017334,33234000
2014/5/8,119.5,120,119,119.5,87.72426605,27052000
2014/5/9,120,120,119,120,88.09130859,22485000
2014/5/12,119.5,120,117.5,118.5,86.99017334,35472000
2014/5/13,120,121,119.5,120.5,88.45836639,24007000
2014/5/14,121,122,120.5,122,89.55950928,32763000
2014/5/15,121,122,120.5,122,89.55950928,16779000
2014/5/16,122,123,121,122,89.55950928,28390000
2014/5/19,122,122.5,121,121,88.82540894,18373000
2014/5/20,122,122,121,121,88.82540894,25192000
2014/5/21,122,122,120.5,120.5,88.45836639,24178000
2014/5/22,121.5,122,121,122,89.55950928,26290000
2014/5/23,121,122.5,121,122,89.55950928,31726000
2014/5/26,123,123.5,122,123,90.29360199,19792000
2014/5/27,122.5,124,122.5,123.5,90.66065979,18012000
2014/5/28,124,124,122.5,124,91.0276947,36670000
2014/5/29,123.5,124,121.5,122,89.55950928,43028000
2014/5/30,122,122.5,119.5,119.5,87.72426605,69042000
2014/6/3,120,122.5,120,122.5,89.92655945,37556000
2014/6/4,123.5,124,123,123.5,90.66065979,33407000
2014/6/5,123,123.5,121.5,123,90.29360199,19524000
2014/6/6,123.5,123.5,122,122.5,89.92655945,19230000
2014/6/9,122.5,123.5,122.5,123,90.29360199,19684000
2014/6/10,123,124.5,122.5,124.5,91.39474487,25050000
2014/6/11,124,125,123.5,125,91.76179504,27770000
2014/6/12,124,124,123,123.5,90.66065979,22138000
2014/6/13,123,123.5,122.5,123,90.29360199,17160000
2014/6/16,122.5,124,122.5,124,91.0276947,13550000
2014/6/17,124,125,123,125,91.76179504,19795000
2014/6/18,125,126.5,124,125.5,92.12883759,37238000
2014/6/19,124.5,126,124.5,126,92.49588013,17873000
2014/6/20,126.5,127,124,124.5,91.39474487,30094000
2014/6/23,125,125.5,123,123,90.29360199,25096000
2014/6/24,123,123.5,122,123,90.29360199,33225000
2014/6/25,123,124.5,123,123.5,90.66065979,30757000
2014/6/26,124.5,125,123.5,124.5,91.39474487,30279000
2014/6/27,125,126.5,124,125.5,92.12883759,44396000
2014/6/30,126,127,125,126.5,92.8629303,33280000
2014/7/1,126.5,128.5,126,128,93.96406555,32922000
2014/7/2,129.5,132.5,129,132.5,97.26751709,51457000
2014/7/3,131.5,135,130.5,134.5,98.73570251,40176000
2014/7/4,133.5,136,132,135,99.10274506,44006000
2014/7/7,134.5,136,132.5,136,99.83683014,32123000
2014/7/8,135.5,136,134,134.5,98.73570251,36117000
2014/7/9,133.5,135,133.5,134,98.36864471,39145000
2014/7/10,134.5,136,134.5,134.5,98.73570251,47098000
2014/7/11,136,138,135.5,136.5,100.2038803,43144000
