Truth,LSTM,BiLSTM,GRU,Seq2Seq LSTM,MLP LSTM,Transformer,TransLSTM-AR,TransBiLSTM-AR,TransGRU-AR,Date
524,516.2966309,505.3524475,514.8153687,523.1981804,510.2221071,523.6137753,523.7506056,509.4177556,512.928647,2023/3/6
521,517.2492065,507.5126343,516.4147949,524.541833,511.4226798,524.840978,525.5219356,511.5945423,515.3106618,2023/3/7
522,516.9708862,506.2511902,515.5926514,524.1275227,511.0849265,524.1713043,523.5057275,512.3187259,514.6221006,2023/3/8
513,518.0808716,509.2902832,517.1635742,525.8224693,512.7351541,526.4117669,526.2825054,514.4864507,517.7635396,2023/3/9
516,514.637085,500.2195129,511.8309937,521.0574328,508.636597,519.6846156,517.0672012,510.5450698,510.006706,2023/3/10
510,512.9252319,500.1001282,511.1998901,520.1012521,507.8184966,518.236908,517.738472,511.6522117,510.3998025,2023/3/13
511,511.0403137,497.1179504,509.9858704,518.0960155,506.0414726,515.769205,515.2975031,510.3035248,509.0917376,2023/3/14
505,510.8067322,498.1715698,510.5870056,518.1599345,506.0041489,516.4453712,516.4731817,511.3830993,510.8232788,2023/3/15
518,507.5734558,491.3484497,506.4030151,514.0507879,502.1563028,510.6636028,510.7589779,507.5059845,505.225004,2023/3/16
512,509.9463806,500.3949585,512.633667,518.1250064,505.5776868,516.3427745,519.2520775,513.9950975,514.1182483,2023/3/17
517,510.2973938,498.5769958,512.6035767,517.6938571,504.9621064,517.1590695,517.1035874,511.949829,512.3623339,2023/3/20
533,510.5719604,499.4934082,512.4801025,518.1643439,505.1315733,517.9506441,518.0192502,513.9596139,513.4071887,2023/3/21
538,516.0534668,512.0164795,521.0141602,525.2144926,511.1823847,527.0533176,530.6998936,521.0461489,524.2438338,2023/3/22
539,520.8283081,517.3660889,525.5373535,529.5614691,514.925412,533.591559,535.2328289,523.7161289,527.9937703,2023/3/23
531,524.6547241,522.2514648,528.1685181,533.6620747,518.8930063,539.5214069,537.9757898,526.5974826,532.0714608,2023/3/24
525,524.8047485,519.5955811,526.4032593,533.4361188,519.1651047,538.2429579,534.3537607,523.6505087,528.6181,2023/3/27
530,522.6080322,514.0439453,524.2845459,530.6996505,517.2029205,532.7258578,528.9552631,519.7145787,522.9863902,2023/3/28
535,523.7619629,518.0368652,526.0953369,532.5486137,519.2659307,535.0168376,531.65722,522.2746362,526.1101915,2023/3/29
533,526.6489868,522.583252,529.2108154,535.2196007,521.8769914,538.301287,536.1140497,524.7679624,529.762774,2023/3/30
530,528.4193115,523.4172363,530.0523682,536.4529141,523.229567,540.0452231,536.5513791,524.4738518,529.9541143,2023/3/31
531,526.9879761,518.3394165,526.9019165,534.0145839,521.3046718,536.035236,531.3571029,522.8058477,525.1459559,2023/4/6
529,527.6771851,521.2966919,528.147644,535.5100657,522.9211171,537.9895041,534.0683994,524.0512088,527.6657385,2023/4/7
524,527.6749878,519.7622681,527.4829712,534.927226,522.5410405,536.9975274,532.5429197,522.9647598,526.3031289,2023/4/10
520,525.0405273,513.140625,523.7233276,531.2459304,519.4001223,530.7173576,527.2561848,518.8221087,520.5992021,2023/4/11
510,522.6841431,509.95578,521.7388916,528.9412016,517.4929689,527.4205479,524.0559654,516.3983608,518.2336097,2023/4/12
516,518.3321533,501.6688843,517.0446777,523.813483,512.9586448,519.8059263,516.9878666,511.0066682,511.4434074,2023/4/13
520,517.4005737,503.5791626,517.9262695,523.5959988,512.5937407,519.3352659,520.1950994,512.4524315,514.1832435,2023/4/14
515,517.6883545,504.7763062,519.3566895,523.7380024,512.3574037,520.6247558,521.2512729,513.9098953,515.7118133,2023/4/17
510,516.8191528,502.7425537,517.0863647,522.6618651,511.1452693,519.8372434,520.4206387,512.1672091,514.0631481,2023/4/18
