Truth,LSTM,BiLSTM,GRU,Seq2Seq,Transformer,TransLSTM-AR,TransBiLSTM-AR,TransGRU-AR,ARIMA,MLP LSTM,Date
145.9382324,149.9550476,147.9498138,147.7918396,147.252256,149.4936189,147.2813475,149.5586342,151.9206765,147.8739565,148.4159788,2023/2/27
143.8592072,149.6778564,147.4034576,147.2208099,146.8362078,149.3049838,146.8634723,149.202023,151.5419359,145.2796493,147.9929406,2023/2/28
144.4532471,148.5940704,145.9092255,146.1543884,145.6484084,149.3580208,145.6952942,147.1903217,150.2762241,146.4035074,147.0664415,2023/3/1
149.5220947,147.6571045,144.9595795,145.5840149,144.6631142,147.4931499,144.4936031,146.8707587,149.3612965,145.9544303,146.3993129,2023/3/2
152.2941742,149.7176361,148.665451,148.2613983,147.2295536,148.5169949,148.3600025,150.926496,152.6367097,143.8461524,147.824612,2023/3/3
150.0863953,153.2677307,153.2479706,151.484375,151.2140703,149.5570667,153.8674166,155.6572616,157.2226341,144.4583556,149.9411006,2023/3/6
151.34375,153.3822479,151.9227142,150.6722107,151.135066,149.5208402,152.4232424,153.458417,155.8159296,149.8427236,149.840283,2023/3/7
149.0865021,153.5658112,152.2437134,151.3409576,151.5844867,149.5652503,152.3543353,154.0261171,155.6968394,152.6138823,150.3578343,2023/3/8
147.0173645,153.4042511,151.8940887,150.9615936,151.4455157,151.9409465,152.3670162,153.0342932,155.7098987,149.9117469,150.3650472,2023/3/9
148.9677124,151.869278,149.3458862,149.1438446,149.4950567,153.1942586,149.3438589,150.4940372,153.1317081,151.4170091,149.4153092,2023/3/10
151.0665436,151.6537628,149.719101,149.5627899,149.3609289,152.3220655,149.3425075,151.9140388,153.5057352,148.9856156,149.6249358,2023/3/13
151.4625397,152.8258057,151.6172943,150.8037262,150.6118626,152.6578661,151.431678,153.4691736,154.9730442,146.877849,150.4645888,2023/3/14
154.2939758,153.1993103,151.6828918,150.8322144,150.8725292,152.504571,151.377668,153.5366861,154.8850671,149.0444793,150.6857106,2023/3/15
153.4524994,154.5246124,153.657074,152.5080261,152.4950468,151.8184401,153.3403862,155.8629019,156.665842,151.1971995,151.8124498,2023/3/16
155.8284912,155.7996674,155.0999756,153.5925751,153.9676747,152.7109356,155.5352309,156.7836133,158.271376,151.4883026,152.6667339,2023/3/17
157.689743,156.6750793,155.7948608,154.3112488,154.8705268,154.6389408,155.6759965,157.7465186,158.5196968,154.4969366,153.485289,2023/3/20
156.2542114,158.1490173,157.7101135,155.9022675,156.6316478,155.5232743,157.6808655,159.6413459,160.3079311,153.4349368,154.8151991,2023/3/21
157.3432159,159.3244019,158.8105164,156.8286896,157.9695857,157.1905372,159.3777604,160.6089646,161.9633671,155.8028059,155.7642018,2023/3/22
158.6500549,159.8571014,158.9761353,157.2546539,158.4977188,157.8876085,159.1301639,160.7709407,161.6207774,157.7176842,156.4818636,2023/3/23
156.6997528,160.2467957,159.2322693,157.6238556,158.8583407,158.7571962,158.9249452,160.7953404,161.3032683,156.2414632,157.1468727,2023/3/24
156.076004,160.3903351,159.2086945,157.730957,159.0049008,159.7702846,159.3182477,160.4965014,161.6371015,157.323426,157.4526562,2023/3/27
